"","Site","Species","MaxN_"
"102","Little_Harbor","Semicossyphus_pulcher",2
"103","Little_Harbor","Umbrina_roncador",14
"104","Little_Harbor","Urolophus_halleri",4
"105","Little_Harbor","Anisotremus_davidsonii",8
"106","Little_Harbor","Girella_nigricans",8
"107","Little_Harbor","Gymnothorax_mordax",2
"108","Little_Harbor","Halichoeres_semicinctus",13
"109","Little_Harbor","Myliobatis_californica",5
"110","Little_Harbor","Paralabrax_clathratus",9
"111","Little_Harbor","Pseudobatos_productus",3
"112","Little_Harbor","Umbrina_roncador",14
"113","Ben_Weston","Amphistichus_argenteus",2
"114","Ben_Weston","Anisotremus_davidsonii",6
"115","Ben_Weston","Hyperprosopon_argenteum",49
"116","Ben_Weston","Myliobatis_californica",2
"117","Ben_Weston","Pseudobatos_productus",2
"118","Ben_Weston","Triakis_semifasciata",3
"119","Ben_Weston","Urolophus_halleri",6
"120","Ben_Weston","Anisotremus_davidsonii",6
"121","Ben_Weston","Atherinops_affinis",17
"122","Ben_Weston","Paralabrax_clathratus",1
"123","Ben_Weston","Umbrina_roncador",5
"124","Ben_Weston","Urolophus_halleri",6
"125","Ben_Weston","Atherinops_affinis",17
"126","Ben_Weston","Umbrina_roncador",5
"127","Emerald_Bay","Halichoeres_semicinctus",4
"128","Emerald_Bay","Paralabrax_clathratus",9
"129","Emerald_Bay","Triakis_semifasciata",1
"130","Emerald_Bay","Urolophus_halleri",7
"131","Emerald_Bay","Girella_nigricans",8
"132","Emerald_Bay","Paralichthys_californicus",1
"133","Emerald_Bay","Pseudobatos_productus",2
"134","Emerald_Bay","Girella_nigricans",8
"135","Emerald_Bay","Paralabrax_clathratus",9
"136","Emerald_Bay","Paralabrax_nebulifer",1
"137","Emerald_Bay","Urolophus_halleri",7
"138","Dangermond","Atherinops_affinis",8
"139","Dangermond","Amphistichus_argenteus",22
"140","Dangermond","Triakis_semifasciata",2
"141","Dangermond","Amphistichus_argenteus",22
"142","Dangermond","Pseudobatos_productus",2
"143","R_Beach","Citharichthys_stigmaeus",4
"144","R_Beach","Triakis_semifasciata",2
"145","R_Beach","Atherinops_affinis",2
"146","R_Beach","Citharichthys_stigmaeus",4
"147","R_Beach","Menticirrhus_undulatus",2
"148","R_Beach","Amphistichus_argenteus",2
"149","R_Beach","Myliobatis_californica",1
"150","Santa_Monica","Myliobatis_californica",4
"151","Santa_Monica","Pseudobatos_productus",2
"152","Santa_Monica","Amphistichus_argenteus",3
"153","Santa_Monica","Umbrina_roncador",3
"154","Santa_Monica","Triakis_semifasciata",3
"155","Santa_Monica","Menticirrhus_undulatus",1
"156","Santa_Monica","Myliobatis_californica",4
"157","Santa_Monica","Umbrina_roncador",3
"158","Santa_Monica","Triakis_semifasciata",3
"159","Santa_Claus","Atherinops_affinis",19
"160","Santa_Claus","Platyrhinoidis_triseriata",2
"161","Santa_Claus","Atherinops_affinis",19
"162","Santa_Claus","Triakis_semifasciata",1
"163","Santa_Claus","Myliobatis_californica",2
"164","Santa_Claus","Atherinops_affinis",19
