"","BRUV_Number","Site","Species","MaxN_"
"147",3,"Little_Harbor","Triakis_semifasciata",2
"148",3,"Little_Harbor","Umbrina_roncador",5
"149",3,"Little_Harbor","Urobatis_halleri",1
"150",1,"R_Beach","Atherinops_affinis",1
"151",1,"R_Beach","Citharichthys_stigmaeus",2
"152",1,"R_Beach","Triakis_semifasciata",1
"153",2,"R_Beach","Amphistichus_argenteus",1
"154",2,"R_Beach","Atherinops_affinis",1
"155",2,"R_Beach","Citharichthys_stigmaeus",1
"156",2,"R_Beach","Menticirrhus_undulatus",1
"157",3,"R_Beach","Amphistichus_argenteus",1
"158",3,"R_Beach","Citharichthys_stigmaeus",1
"159",3,"R_Beach","Menticirrhus_undulatus",1
"160",3,"R_Beach","Myliobatis_californica",1
"161",3,"R_Beach","Triakis_semifasciata",1
"162",1,"Sandy_Point","Amphistichus_argenteus",10
"163",1,"Sandy_Point","Atherinops_affinis",2
"164",1,"Sandy_Point","Myliobatis_californica",1
"165",2,"Sandy_Point","Amphistichus_argenteus",3
"166",2,"Sandy_Point","Citharichthys_stigmaeus",5
"167",2,"Sandy_Point","Triakis_semifasciata",1
"168",3,"Sandy_Point","Amphistichus_argenteus",5
"169",3,"Sandy_Point","Myliobatis_californica",1
"170",1,"Santa_Claus","Atherinops_affinis",11
"171",1,"Santa_Claus","Platyrhinoidis_triseriata",1
"172",2,"Santa_Claus","Atherinops_affinis",7
"173",2,"Santa_Claus","Myliobatis_californica",1
"174",2,"Santa_Claus","Triakis_semifasciata",1
"175",3,"Santa_Claus","Atherinops_affinis",1
"176",3,"Santa_Claus","Myliobatis_californica",1
"177",3,"Santa_Claus","Platyrhinoidis_triseriata",1
"178",1,"Santa_Monica","Myliobatis_californica",1
"179",2,"Santa_Monica","Amphistichus_argenteus",3
"180",2,"Santa_Monica","Menticirrhus_undulatus",1
"181",2,"Santa_Monica","Myliobatis_californica",2
"182",2,"Santa_Monica","Pseudobatos_productus",1
"183",2,"Santa_Monica","Triakis_semifasciata",2
"184",2,"Santa_Monica","Umbrina_roncador",2
"185",3,"Santa_Monica","Myliobatis_californica",1
"186",3,"Santa_Monica","Pseudobatos_productus",1
"187",3,"Santa_Monica","Triakis_semifasciata",1
"188",3,"Santa_Monica","Umbrina_roncador",1
"189",1,"Southeast_Anchorage","Atherinops_affinis",35
"190",1,"Southeast_Anchorage","Citharichthys_stigmaeus",5
"191",1,"Southeast_Anchorage","Myliobatis_californica",1
"192",2,"Southeast_Anchorage","Atherinops_affinis",21
"193",2,"Southeast_Anchorage","Citharichthys_stigmaeus",5
"194",2,"Southeast_Anchorage","Myliobatis_californica",1
"195",2,"Southeast_Anchorage","Triakis_semifasciata",1
"196",3,"Southeast_Anchorage","Atherinops_affinis",16
"197",3,"Southeast_Anchorage","Citharichthys_stigmaeus",5
"198",3,"Southeast_Anchorage","Syngnathus_californiensis",1
"199",3,"Southeast_Anchorage","Triakis_semifasciata",1
"200",1,"Water_Canyon","Amphistichus_argenteus",2
"201",1,"Water_Canyon","Atherinops_affinis",2
"202",1,"Water_Canyon","Myliobatis_californica",3
"203",1,"Water_Canyon","Triakis_semifasciata",1
"204",2,"Water_Canyon","Amphistichus_argenteus",12
"205",2,"Water_Canyon","Atherinops_affinis",2
"206",2,"Water_Canyon","Galeorhinus_galeus",1
"207",2,"Water_Canyon","Myliobatis_californica",4
"208",2,"Water_Canyon","Triakis_semifasciata",1
"209",3,"Water_Canyon","Amphistichus_argenteus",15
"210",3,"Water_Canyon","Citharichthys_stigmaeus",1
"211",3,"Water_Canyon","Myliobatis_californica",2
"212",3,"Water_Canyon","Triakis_semifasciata",1
