BRUV_Number,Site,Site_Code,Species,MaxN
2,Bechers,BB,Triakis_semifasciata,2
3,Bechers,BB,Atherinops_affinis,4
3,Bechers,BB,Citharichthys_stigmaeus,2
3,Bechers,BB,Platyrhinoidis_triseriata,1
3,Bechers,BB,Triakis_semifasciata,1
1,Water_Canyon,WC,Amphistichus_argenteus,2
1,Water_Canyon,WC,Atherinops_affinis,2
1,Water_Canyon,WC,Myliobatis_californica,3
1,Water_Canyon,WC,Triakis_semifasciata,1
2,Water_Canyon,WC,Amphistichus_argenteus,12
2,Water_Canyon,WC,Atherinops_affinis,2
2,Water_Canyon,WC,Galeorhinus_galeus,1
2,Water_Canyon,WC,Myliobatis_californica,4
2,Water_Canyon,WC,Triakis_semifasciata,1
3,Water_Canyon,WC,Amphistichus_argenteus,15
3,Water_Canyon,WC,Citharichthys_stigmaeus,1
3,Water_Canyon,WC,Myliobatis_californica,2
3,Water_Canyon,WC,Triakis_semifasciata,1
1,Southeast_Anchorage,SA,Atherinops_affinis,35
1,Southeast_Anchorage,SA,Citharichthys_stigmaeus,5
1,Southeast_Anchorage,SA,Myliobatis_californica,1
2,Southeast_Anchorage,SA,Atherinops_affinis,21
2,Southeast_Anchorage,SA,Citharichthys_stigmaeus,5
2,Southeast_Anchorage,SA,Myliobatis_californica,1
2,Southeast_Anchorage,SA,Triakis_semifasciata,1
3,Southeast_Anchorage,SA,Atherinops_affinis,16
3,Southeast_Anchorage,SA,Citharichthys_stigmaeus,5
3,Southeast_Anchorage,SA,Syngnathus_californiensis,1
3,Southeast_Anchorage,SA,Triakis_semifasciata,1
1,Forney,FC,Citharichthys_stigmaeus,1
1,Forney,FC,Myliobatis_californica,2
1,Forney,FC,Sphyraena_argentea,99
1,Forney,FC,Triakis_semifasciata,1
2,Forney,FC,Embiotoca_jacksoni,3
2,Forney,FC,Girella_nigricans,2
2,Forney,FC,Heterostichus_rostratus,1
2,Forney,FC,Micrometrus_minimus,2
2,Forney,FC,Myliobatis_californica,1
2,Forney,FC,Oxyjulis_californica,1
2,Forney,FC,Sphyraena_argentea,11
2,Forney,FC,Triakis_semifasciata,3
3,Forney,FC,Myliobatis_californica,2
3,Forney,FC,Triakis_semifasciata,1
1,Christy,CB,Atherinops_affinis,10
1,Christy,CB,Citharichthys_stigmaeus,1
1,Christy,CB,Myliobatis_californica,2
1,Christy,CB,Paralabrax_clathratus,1
1,Christy,CB,Triakis_semifasciata,2
2,Christy,CB,Atherinopsidae_unknown,39
2,Christy,CB,Citharichthys_stigmaeus,6
2,Christy,CB,Myliobatis_californica,3
2,Christy,CB,Triakis_semifasciata,1
3,Christy,CB,Atherinops_affinis,163
3,Christy,CB,Myliobatis_californica,6
3,Christy,CB,Sphyraena_argentea,2
1,Coches,CP,Citharichthys_stigmaeus,7
1,Coches,CP,Myliobatis_californica,3
1,Coches,CP,Paralabrax_clathratus,2
1,Coches,CP,Platyrhinoidis_triseriata,1
1,Coches,CP,Triakis_semifasciata,2
2,Coches,CP,Citharichthys_stigmaeus,13
2,Coches,CP,Engraulis_mordax,15
2,Coches,CP,Triakis_semifasciata,1
3,Coches,CP,Citharichthys_stigmaeus,6
3,Coches,CP,Engraulis_mordax,3
3,Coches,CP,Myliobatis_californica,3
3,Coches,CP,Platyrhinoidis_triseriata,1
3,Coches,CP,Triakis_semifasciata,1
1,Little_Harbor,LH,Anisotremus_davidsonii,3
1,Little_Harbor,LH,Atherinops_affinis,120
1,Little_Harbor,LH,Girella_nigricans,1
1,Little_Harbor,LH,Xenistius_californiensis,32
1,Little_Harbor,LH,Halichoeres_semicinctus,2
1,Little_Harbor,LH,Hyperprosopon_argenteum,1
1,Little_Harbor,LH,Myliobatis_californica,2
1,Little_Harbor,LH,Pseudobatos_productus,2
1,Little_Harbor,LH,Trachurus_symmetricus,3
1,Little_Harbor,LH,Triakis_semifasciata,2
1,Little_Harbor,LH,Umbrina_roncador,2
1,Little_Harbor,LH,Urolophus_halleri,2
2,Little_Harbor,LH,Anisotremus_davidsonii,3
2,Little_Harbor,LH,Atherinops_affinis,1
2,Little_Harbor,LH,Halichoeres_semicinctus,6
2,Little_Harbor,LH,Medialuna_californiensis,1
2,Little_Harbor,LH,Myliobatis_californica,2
2,Little_Harbor,LH,Paralabrax_clathratus,5
2,Little_Harbor,LH,Semicossyphus_pulcher,1
2,Little_Harbor,LH,Trachurus_symmetricus,3
2,Little_Harbor,LH,Triakis_semifasciata,2
2,Little_Harbor,LH,Umbrina_roncador,7
2,Little_Harbor,LH,Urolophus_halleri,1
3,Little_Harbor,LH,Anisotremus_davidsonii,2
3,Little_Harbor,LH,Atherinops_affinis,1
3,Little_Harbor,LH,Girella_nigricans,7
3,Little_Harbor,LH,Gymnothorax_mordax,2
3,Little_Harbor,LH,Halichoeres_semicinctus,5
3,Little_Harbor,LH,Myliobatis_californica,1
3,Little_Harbor,LH,Paralabrax_clathratus,4
3,Little_Harbor,LH,Pseudobatos_productus,1
3,Little_Harbor,LH,Semicossyphus_pulcher,1
3,Little_Harbor,LH,Triakis_semifasciata,2
3,Little_Harbor,LH,Umbrina_roncador,5
3,Little_Harbor,LH,Urolophus_halleri,1
1,Ben_Weston,BW,Amphistichus_argenteus,2
1,Ben_Weston,BW,Anisotremus_davidsonii,5
1,Ben_Weston,BW,Hyperprosopon_argenteum,49
1,Ben_Weston,BW,Myliobatis_californica,1
1,Ben_Weston,BW,Pseudobatos_productus,1
1,Ben_Weston,BW,Triakis_semifasciata,1
1,Ben_Weston,BW,Urolophus_halleri,4
2,Ben_Weston,BW,Anisotremus_davidsonii,1
2,Ben_Weston,BW,Atherinops_affinis,5
2,Ben_Weston,BW,Myliobatis_californica,1
2,Ben_Weston,BW,Paralabrax_clathratus,1
2,Ben_Weston,BW,Pseudobatos_productus,1
2,Ben_Weston,BW,Triakis_semifasciata,1
2,Ben_Weston,BW,Umbrina_roncador,1
2,Ben_Weston,BW,Urolophus_halleri,1
3,Ben_Weston,BW,Atherinops_affinis,12
3,Ben_Weston,BW,Triakis_semifasciata,1
3,Ben_Weston,BW,Umbrina_roncador,4
3,Ben_Weston,BW,Urolophus_halleri,1
1,Emerald_Bay,EB,Halichoeres_semicinctus,4
1,Emerald_Bay,EB,Paralabrax_clathratus,2
1,Emerald_Bay,EB,Triakis_semifasciata,1
1,Emerald_Bay,EB,Urolophus_halleri,3
2,Emerald_Bay,EB,Girella_nigricans,1
2,Emerald_Bay,EB,Paralichthys_californicus,1
2,Emerald_Bay,EB,Pseudobatos_productus,1
2,Emerald_Bay,EB,Urolophus_halleri,3
3,Emerald_Bay,EB,Girella_nigricans,7
3,Emerald_Bay,EB,Paralabrax_clathratus,7
3,Emerald_Bay,EB,Paralabrax_nebulifer,1
3,Emerald_Bay,EB,Pseudobatos_productus,1
3,Emerald_Bay,EB,Urolophus_halleri,1
1,Dangermond,DP,Atherinops_affinis,4
1,Dangermond,DP,Amphistichus_argenteus,6
1,Dangermond,DP,Triakis_semifasciata,1
2,Dangermond,DP,Atherinops_affinis,4
2,Dangermond,DP,Amphistichus_argenteus,10
2,Dangermond,DP,Pseudobatos_productus,1
2,Dangermond,DP,Triakis_semifasciata,1
3,Dangermond,DP,Amphistichus_argenteus,6
3,Dangermond,DP,Phoca_vitulina,1
3,Dangermond,DP,Pseudobatos_productus,1
1,R_Beach,RB,Citharichthys_stigmaeus,2
1,R_Beach,RB,Triakis_semifasciata,1
1,R_Beach,RB,Atherinops_affinis,1
2,R_Beach,RB,Atherinops_affinis,1
2,R_Beach,RB,Citharichthys_stigmaeus,1
2,R_Beach,RB,Menticirrhus_undulatus,1
2,R_Beach,RB,Amphistichus_argenteus,1
3,R_Beach,RB,Citharichthys_stigmaeus,1
3,R_Beach,RB,Menticirrhus_undulatus,1
3,R_Beach,RB,Myliobatis_californica,1
3,R_Beach,RB,Amphistichus_argenteus,1
3,R_Beach,RB,Triakis_semifasciata,1
1,Santa_Monica,SM,Myliobatis_californica,1
2,Santa_Monica,SM,Pseudobatos_productus,1
2,Santa_Monica,SM,Amphistichus_argenteus,3
2,Santa_Monica,SM,Umbrina_roncador,2
2,Santa_Monica,SM,Triakis_semifasciata,2
2,Santa_Monica,SM,Menticirrhus_undulatus,1
2,Santa_Monica,SM,Myliobatis_californica,2
3,Santa_Monica,SM,Umbrina_roncador,1
3,Santa_Monica,SM,Myliobatis_californica,1
3,Santa_Monica,SM,Pseudobatos_productus,1
3,Santa_Monica,SM,Triakis_semifasciata,1
1,Santa_Claus,SC,Atherinops_affinis,11
1,Santa_Claus,SC,Platyrhinoidis_triseriata,1
2,Santa_Claus,SC,Atherinops_affinis,7
2,Santa_Claus,SC,Triakis_semifasciata,1
2,Santa_Claus,SC,Myliobatis_californica,1
3,Santa_Claus,SC,Platyrhinoidis_triseriata,1
3,Santa_Claus,SC,Atherinops_affinis,1
3,Santa_Claus,SC,Myliobatis_californica,1
