Seq_number	New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
CHC.MIU.1.S45	CHC_1	San_Miguel_Island	Cuylers_Harbor	C	1	10/16/18	CHC	11/27/18	1250	Sample	CHC_1	NA	3
CHC.MIU.2.S124	CHC_2	San_Miguel_Island	Cuylers_Harbor	C	2	10/16/18	CHC	11/27/18	1250	Sample	CHC_2	NA	3
CHC.MIU.3.S203	CHC_3	San_Miguel_Island	Cuylers_Harbor	C	3	10/16/18	CHC	11/27/18	1250	Sample	CHC_3	NA	3
CPA.MIU.1.S4	CPA_1	Santa_Cruz_Island	Coches	A	1	8/24/18	CPA	9/27/18	1250	Sample	CPA_1	NA	3
CPA.MIU.2.S83	CPA_2	Santa_Cruz_Island	Coches	A	2	8/24/18	CPA	9/27/18	1250	Sample	CPA_2	NA	3
CPA.MIU.3.S162	CPA_3	Santa_Cruz_Island	Coches	A	3	8/24/18	CPA	9/27/18	1250	Sample	CPA_3	NA	3
CPB.MIU.1.S5	CPB_1	Santa_Cruz_Island	Coches	B	1	8/24/18	CPB	9/27/18	1250	Sample	CPB_1	NA	3
CPB.MIU.2.S84	CPB_2	Santa_Cruz_Island	Coches	B	2	8/24/18	CPB	9/27/18	1250	Sample	CPB_2	NA	3
CPB.MIU.3.S163	CPB_3	Santa_Cruz_Island	Coches	B	3	8/24/18	CPB	9/27/18	1250	Sample	CPB_3	NA	3
CPC.MIU.1.S6	CPC_1	Santa_Cruz_Island	Coches	C	1	8/24/18	CPC	9/27/18	1250	Sample	CPC_1	NA	3
CPC.MIU.2.S85	CPC_2	Santa_Cruz_Island	Coches	C	2	8/24/18	CPC	9/27/18	1250	Sample	CPC_2	NA	3
CPC.MIU.3.S164	CPC_3	Santa_Cruz_Island	Coches	C	3	8/24/18	CPC	9/27/18	1250	Sample	CPC_3	NA	3
DPA.MIU.1.S55	DPA_1	Mainland	Dangermond	A	1	11/2/18	DPA	11/27/18	1150	Sample	DPA_1	NA	3
DPA.MIU.2.S134	DPA_2	Mainland	Dangermond	A	2	11/2/18	DPA	11/27/18	1150	Sample	DPA_2	NA	3
DPA.MIU.3.S213	DPA_3	Mainland	Dangermond	A	3	11/2/18	DPA	11/27/18	1150	Sample	DPA_3	NA	3
DPB.MIU.1.S56	DPB_1	Mainland	Dangermond	B	1	11/2/18	DPB	11/27/18	750	Sample	DPB_1	NA	3
DPB.MIU.2.S135	DPB_2	Mainland	Dangermond	B	2	11/2/18	DPB	11/27/18	750	Sample	DPB_2	NA	3
DPB.MIU.3.S214	DPB_3	Mainland	Dangermond	B	3	11/2/18	DPB	11/27/18	750	Sample	DPB_3	NA	3
DPC.MIU.1.S57	DPC_1	Mainland	Dangermond	C	1	11/2/18	DPC	11/27/18	1200	Sample	DPC_1	NA	3
DPC.MIU.2.S136	DPC_2	Mainland	Dangermond	C	2	11/2/18	DPC	11/27/18	1200	Sample	DPC_2	NA	3
DPC.MIU.3.S215	DPC_3	Mainland	Dangermond	C	3	11/2/18	DPC	11/27/18	1200	Sample	DPC_3	NA	3
EBA.MIU.1.S46	EBA_1	Santa_Catalina_Island	Emerald_Bay	A	1	10/21/18	EBA	11/27/18	1000	Sample	EBA_1	NA	3
EBA.MIU.2.S125	EBA_2	Santa_Catalina_Island	Emerald_Bay	A	2	10/21/18	EBA	11/27/18	1000	Sample	EBA_2	NA	3
EBA.MIU.3.S204	EBA_3	Santa_Catalina_Island	Emerald_Bay	A	3	10/21/18	EBA	11/27/18	1000	Sample	EBA_3	NA	3
EBB.MIU.1.S47	EBB_1	Santa_Catalina_Island	Emerald_Bay	B	1	10/21/18	EBB	11/27/18	1100	Sample	EBB_1	NA	3
EBB.MIU.2.S126	EBB_2	Santa_Catalina_Island	Emerald_Bay	B	2	10/21/18	EBB	11/27/18	1100	Sample	EBB_2	NA	3
EBB.MIU.3.S205	EBB_3	Santa_Catalina_Island	Emerald_Bay	B	3	10/21/18	EBB	11/27/18	1100	Sample	EBB_3	NA	3
EBC.MIU.1.S48	EBC_1	Santa_Catalina_Island	Emerald_Bay	C	1	10/21/18	EBC	11/27/18	1000	Sample	EBC_1	NA	3
EBC.MIU.2.S127	EBC_2	Santa_Catalina_Island	Emerald_Bay	C	2	10/21/18	EBC	11/27/18	1000	Sample	EBC_2	NA	3
EBC.MIU.3.S206	EBC_3	Santa_Catalina_Island	Emerald_Bay	C	3	10/21/18	EBC	11/27/18	1000	Sample	EBC_3	NA	3
FCA.MIU.1.S7	FCA_1	Santa_Cruz_Island	Forney	A	1	8/25/18	FCA	9/27/18	1250	Sample	FCA_1	NA	3
FCA.MIU.2.S86	FCA_2	Santa_Cruz_Island	Forney	A	2	8/25/18	FCA	9/27/18	1250	Sample	FCA_2	NA	3
FCA.MIU.3.S165	FCA_3	Santa_Cruz_Island	Forney	A	3	8/25/18	FCA	9/27/18	1250	Sample	FCA_3	NA	3
FCB.MIU.1.S8	FCB_1	Santa_Cruz_Island	Forney	B	1	8/25/18	FCB	9/27/18	1250	Sample	FCB_1	NA	3
FCB.MIU.2.S87	FCB_2	Santa_Cruz_Island	Forney	B	2	8/25/18	FCB	9/27/18	1250	Sample	FCB_2	NA	3
FCB.MIU.3.S166	FCB_3	Santa_Cruz_Island	Forney	B	3	8/25/18	FCB	9/27/18	1250	Sample	FCB_3	NA	3
FCC.MIU.1.S9	FCC_1	Santa_Cruz_Island	Forney	C	1	8/25/18	FCC	9/27/18	1200	Sample	FCC_1	NA	3
FCC.MIU.2.S88	FCC_2	Santa_Cruz_Island	Forney	C	2	8/25/18	FCC	9/27/18	1200	Sample	FCC_2	NA	3
FCC.MIU.3.S167	FCC_3	Santa_Cruz_Island	Forney	C	3	8/25/18	FCC	9/27/18	1200	Sample	FCC_3	NA	3
FPA.MIU.1.S16	FPA_1	Santa_Rosa_Island	Ford_Pt	A	1	9/9/18	FPA	9/27/18	900	Sample	FPA_1	NA	3
FPA.MIU.2.S95	FPA_2	Santa_Rosa_Island	Ford_Pt	A	2	9/9/18	FPA	9/27/18	900	Sample	FPA_2	NA	3
FPA.MIU.3.S174	FPA_3	Santa_Rosa_Island	Ford_Pt	A	3	9/9/18	FPA	9/27/18	900	Sample	FPA_3	NA	3
FPB.MIU.1.S17	FPB_1	Santa_Rosa_Island	Ford_Pt	B	1	9/9/18	FPB	9/27/18	1250	Sample	FPB_1	NA	3
FPB.MIU.2.S96	FPB_2	Santa_Rosa_Island	Ford_Pt	B	2	9/9/18	FPB	9/27/18	1250	Sample	FPB_2	NA	3
FPB.MIU.3.S175	FPB_3	Santa_Rosa_Island	Ford_Pt	B	3	9/9/18	FPB	9/27/18	1250	Sample	FPB_3	NA	3
FPC.MIU.1.S18	FPC_1	Santa_Rosa_Island	Ford_Pt	C	1	9/9/18	FPC	9/27/18	1000	Sample	FPC_1	NA	3
FPC.MIU.2.S97	FPC_2	Santa_Rosa_Island	Ford_Pt	C	2	9/9/18	FPC	9/27/18	1000	Sample	FPC_2	NA	3
FPC.MIU.3.S176	FPC_3	Santa_Rosa_Island	Ford_Pt	C	3	9/9/18	FPC	9/27/18	1000	Sample	FPC_3	NA	3
LCZA.A.MIU.1.S63	LCZA.A_1	Gold_mpawatch	LCZA	A	1	NA	LCZA.A	NA	500	Sample	LCZA.A_1	NA	3
LCZA.A.MIU.2.S142	LCZA.A_2	Gold_mpawatch	LCZA	A	2	NA	LCZA.A	NA	500	Sample	LCZA.A_2	NA	3
LCZA.A.MIU.3.S221	LCZA.A_3	Gold_mpawatch	LCZA	A	3	NA	LCZA.A	NA	500	Sample	LCZA.A_3	NA	3
LCZA.B.MIU.1.S64	LCZA.B_1	Gold_mpawatch	LCZA	B	1	NA	LCZA.B	NA	500	Sample	LCZA.B_1	NA	3
LCZA.B.MIU.2.S143	LCZA.B_2	Gold_mpawatch	LCZA	B	2	NA	LCZA.B	NA	500	Sample	LCZA.B_2	NA	3
LCZA.B.MIU.3.S222	LCZA.B_3	Gold_mpawatch	LCZA	B	3	NA	LCZA.B	NA	500	Sample	LCZA.B_3	NA	3
LCZA.C.MIU.1.S65	LCZA.C_1	Gold_mpawatch	LCZA	C	1	NA	LCZA.C	NA	500	Sample	LCZA.C_1	NA	3
LCZA.C.MIU.2.S144	LCZA.C_2	Gold_mpawatch	LCZA	C	2	NA	LCZA.C	NA	500	Sample	LCZA.C_2	NA	3
LCZA.C.MIU.3.S223	LCZA.C_3	Gold_mpawatch	LCZA	C	3	NA	LCZA.C	NA	500	Sample	LCZA.C_3	NA	3
LHA.MIU.1.S52	LHA_1	Santa_Catalina_Island	Little_Harbor	A	1	10/19/18	LHA	11/27/18	1100	Sample	LHA_1	NA	3
LHA.MIU.2.S131	LHA_2	Santa_Catalina_Island	Little_Harbor	A	2	10/19/18	LHA	11/27/18	1100	Sample	LHA_2	NA	3
LHA.MIU.3.S210	LHA_3	Santa_Catalina_Island	Little_Harbor	A	3	10/19/18	LHA	11/27/18	1100	Sample	LHA_3	NA	3
LHB.MIU.1.S53	LHB_1	Santa_Catalina_Island	Little_Harbor	B	1	10/19/18	LHB	11/27/18	1200	Sample	LHB_1	NA	3
LHB.MIU.2.S132	LHB_2	Santa_Catalina_Island	Little_Harbor	B	2	10/19/18	LHB	11/27/18	1200	Sample	LHB_2	NA	3
LHB.MIU.3.S211	LHB_3	Santa_Catalina_Island	Little_Harbor	B	3	10/19/18	LHB	11/27/18	1200	Sample	LHB_3	NA	3
LHC.MIU.1.S54	LHC_1	Santa_Catalina_Island	Little_Harbor	C	1	10/19/18	LHC	11/27/18	1100	Sample	LHC_1	NA	3
LHC.MIU.2.S133	LHC_2	Santa_Catalina_Island	Little_Harbor	C	2	10/19/18	LHC	11/27/18	1100	Sample	LHC_2	NA	3
LHC.MIU.3.S212	LHC_3	Santa_Catalina_Island	Little_Harbor	C	3	10/19/18	LHC	11/27/18	1100	Sample	LHC_3	NA	3
LTGOeDNA1.2.A.MIU.1.S72	LTGO.eDNA.1.2.A_1	Gold_mpawatch	LTGO_1.2	A	1	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_1	NA	3
LTGOeDNA1.2.A.MIU.2.S151	LTGO.eDNA.1.2.A_2	Gold_mpawatch	LTGO_1.2	A	2	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_2	NA	3
LTGOeDNA1.2.A.MIU.3.S230	LTGO.eDNA.1.2.A_3	Gold_mpawatch	LTGO_1.2	A	3	NA	LTGO_1.2.A	NA	500	Sample	LTGO_eDNA_1.2.A_3	NA	3
LTGOeDNA1.2.B.MIU.1.S73	LTGO.eDNA.1.2.B_1	Gold_mpawatch	LTGO_1.2	B	1	NA	LTGO_1.2.B	NA	500	Sample	LTGO_eDNA_1.2.B_1	NA	3
LTGOeDNA1.2.B.MIU.2.S152	LTGO.eDNA.1.2.B_2	Gold_mpawatch	LTGO_1.2	B	2	NA	LTGO_1.2.B	NA	500	Sample	LTGO_eDNA_1.2.B_2	NA	3
LTGOeDNA1.2.B.MIU.3.S231	LTGO.eDNA.1.2.B_3	Gold_mpawatch	LTGO_1.2	B	3	NA	LTGO_1.2.B	NA	500	Sample	LTGO_eDNA_1.2.B_3	NA	3
LTGOeDNA1.2.C.MIU.1.S74	LTGO.eDNA.1.2.C_1	Gold_mpawatch	LTGO_1.2	C	1	NA	LTGO_1.2.C	NA	500	Sample	LTGO_eDNA_1.2.C_1	NA	3
LTGOeDNA1.2.C.MIU.2.S153	LTGO.eDNA.1.2.C_2	Gold_mpawatch	LTGO_1.2	C	2	NA	LTGO_1.2.C	NA	500	Sample	LTGO_eDNA_1.2.C_2	NA	3
LTGOeDNA1.2.C.MIU.3.S232	LTGO.eDNA.1.2.C_3	Gold_mpawatch	LTGO_1.2	C	3	NA	LTGO_1.2.C	NA	500	Sample	LTGO_eDNA_1.2.C_3	NA	3
LTGOeDNA5.0.A.MIU.1.S75	LTGO.eDNA.5.A_1	Gold_mpawatch	LTGO_5	A	1	NA	LTGO_5.A	NA	500	Sample	LTGO_eDNA_5.A_1	NA	3
LTGOeDNA5.0.A.MIU.2.S154	LTGO.eDNA.5.A_2	Gold_mpawatch	LTGO_5	A	2	NA	LTGO_5.A	NA	500	Sample	LTGO_eDNA_5.A_2	NA	3
LTGOeDNA5.0.A.MIU.3.S233	LTGO.eDNA.5.A_3	Gold_mpawatch	LTGO_5	A	3	NA	LTGO_5.A	NA	500	Sample	LTGO_eDNA_5.A_3	NA	3
LTGOeDNA5.0.B.MIU.1.S76	LTGO.eDNA.5.B_1	Gold_mpawatch	LTGO_5	B	1	NA	LTGO_5.B	NA	500	Sample	LTGO_eDNA_5.B_1	NA	3
LTGOeDNA5.0.B.MIU.2.S155	LTGO.eDNA.5.B_2	Gold_mpawatch	LTGO_5	B	2	NA	LTGO_5.B	NA	500	Sample	LTGO_eDNA_5.B_2	NA	3
LTGOeDNA5.0.B.MIU.3.S234	LTGO.eDNA.5.B_3	Gold_mpawatch	LTGO_5	B	3	NA	LTGO_5.B	NA	500	Sample	LTGO_eDNA_5.B_3	NA	3
LTGOeDNA5.0.C.MIU.1.S77	LTGO.eDNA.5.C_1	Gold_mpawatch	LTGO_5	C	1	NA	LTGO_5.C	NA	500	Sample	LTGO_eDNA_5.C_1	NA	3
LTGOeDNA5.0.C.MIU.2.S156	LTGO.eDNA.5.C_2	Gold_mpawatch	LTGO_5	C	2	NA	LTGO_5.C	NA	500	Sample	LTGO_eDNA_5.C_2	NA	3
LTGOeDNA5.0.C.MIU.3.S235	LTGO.eDNA.5.C_3	Gold_mpawatch	LTGO_5	C	3	NA	LTGO_5.C	NA	500	Sample	LTGO_eDNA_5.C_3	NA	3
LTPG.A.MIU.1.S66	LTGP.A_1	Gold_mpawatch	LTGP	A	1	NA	LTGP.A	NA	500	Sample	LTGP.A_1	NA	3
LTPG.A.MIU.2.S145	LTGP.A_2	Gold_mpawatch	LTGP	A	2	NA	LTGP.A	NA	500	Sample	LTGP.A_2	NA	3
LTPG.A.MIU.3.S224	LTGP.A_3	Gold_mpawatch	LTGP	A	3	NA	LTGP.A	NA	500	Sample	LTGP.A_3	NA	3
LTPG.B.MIU.1.S67	LTGP.B_1	Gold_mpawatch	LTGP	B	1	NA	LTGP.B	NA	500	Sample	LTGP.B_1	NA	3
LTPG.B.MIU.2.S146	LTGP.B_2	Gold_mpawatch	LTGP	B	2	NA	LTGP.B	NA	500	Sample	LTGP.B_2	NA	3
LTPG.B.MIU.3.S225	LTGP.B_3	Gold_mpawatch	LTGP	B	3	NA	LTGP.B	NA	500	Sample	LTGP.B_3	NA	3
LTPG.C.MIU.1.S68	LTGP.C_1	Gold_mpawatch	LTGP	C	1	NA	LTGP.C	NA	500	Sample	LTGP.C_1	NA	3
LTPG.C.MIU.2.S147	LTGP.C_2	Gold_mpawatch	LTGP	C	2	NA	LTGP.C	NA	500	Sample	LTGP.C_2	NA	3
LTPG.C.MIU.3.S226	LTGP.C_3	Gold_mpawatch	LTGP	C	3	NA	LTGP.C	NA	500	Sample	LTGP.C_3	NA	3
NEG.MIU.A.1.S32	PCR.Neg_1	NA	NA	NA	NA	NA	NA	NA	1000	Control	NA	Blank	NA
NEG.MIU.B.1.S59	PCR.Neg_2	NA	NA	NA	NA	NA	NA	NA	1000	Control	NA	Blank	NA
NEG.MIU.C.1.S79	PCR.Neg_3	NA	NA	NA	NA	NA	NA	NA	1000	Control	NA	Blank	NA
PIDB.A.MIU.1.S69	PIDB.A_1	Gold_mpawatch	PIDB	A	1	NA	PIDB.A	NA	500	Sample	PIDB.A_1	NA	3
PIDB.A.MIU.2.S148	PIDB.A_2	Gold_mpawatch	PIDB	A	2	NA	PIDB.A	NA	500	Sample	PIDB.A_2	NA	3
PIDB.A.MIU.3.S227	PIDB.A_3	Gold_mpawatch	PIDB	A	3	NA	PIDB.A	NA	500	Sample	PIDB.A_3	NA	3
PIDB.B.MIU.1.S70	PIDB.B_1	Gold_mpawatch	PIDB	B	1	NA	PIDB.B	NA	500	Sample	PIDB.B_1	NA	3
PIDB.B.MIU.2.S149	PIDB.B_2	Gold_mpawatch	PIDB	B	2	NA	PIDB.B	NA	500	Sample	PIDB.B_2	NA	3
PIDB.B.MIU.3.S228	PIDB.B_3	Gold_mpawatch	PIDB	B	3	NA	PIDB.B	NA	500	Sample	PIDB.B_3	NA	3
PIDB.C.MIU.1.S71	PIDB.C_1	Gold_mpawatch	PIDB	C	1	NA	PIDB.C	NA	500	Sample	PIDB.C_1	NA	3
PIDB.C.MIU.2.S150	PIDB.C_2	Gold_mpawatch	PIDB	C	2	NA	PIDB.C	NA	500	Sample	PIDB.C_2	NA	3
PIDB.C.MIU.3.S229	PIDB.C_3	Gold_mpawatch	PIDB	C	3	NA	PIDB.C	NA	500	Sample	PIDB.C_3	NA	3
PTDS.A.MIU.1.S60	PTDS.A_1	Gold_mpawatch	PTDS	A	1	NA	PTDS.A	NA	500	Sample	PTDS.A_1	NA	3
PTDS.A.MIU.2.S139	PTDS.A_2	Gold_mpawatch	PTDS	A	2	NA	PTDS.A	NA	500	Sample	PTDS.A_2	NA	3
PTDS.A.MIU.3.S218	PTDS.A_3	Gold_mpawatch	PTDS	A	3	NA	PTDS.A	NA	500	Sample	PTDS.A_3	NA	3
PTDS.B.MIU.1.S61	PTDS.B_1	Gold_mpawatch	PTDS	B	1	NA	PTDS.B	NA	500	Sample	PTDS.B_1	NA	3
PTDS.B.MIU.2.S140	PTDS.B_2	Gold_mpawatch	PTDS	B	2	NA	PTDS.B	NA	500	Sample	PTDS.B_2	NA	3
PTDS.B.MIU.3.S219	PTDS.B_3	Gold_mpawatch	PTDS	B	3	NA	PTDS.B	NA	500	Sample	PTDS.B_3	NA	3
PTDS.C.MIU.1.S62	PTDS.C_1	Gold_mpawatch	PTDS	C	1	NA	PTDS.C	NA	500	Sample	PTDS.C_1	NA	3
PTDS.C.MIU.2.S141	PTDS.C_2	Gold_mpawatch	PTDS	C	2	NA	PTDS.C	NA	500	Sample	PTDS.C_2	NA	3
PTDS.C.MIU.3.S220	PTDS.C_3	Gold_mpawatch	PTDS	C	3	NA	PTDS.C	NA	500	Sample	PTDS.C_3	NA	3
RBA.MIU.1.S37	RBA_1	Mainland	R_Beach	A	1	10/10/18	RBA	11/27/18	1200	Sample	RBA_1	NA	3
RBA.MIU.2.S116	RBA_2	Mainland	R_Beach	A	2	10/10/18	RBA	11/27/18	1200	Sample	RBA_2	NA	3
RBA.MIU.3.S195	RBA_3	Mainland	R_Beach	A	3	10/10/18	RBA	11/27/18	1200	Sample	RBA_3	NA	3
RBB.MIU.1.S38	RBB_1	Mainland	R_Beach	B	1	10/10/18	RBB	11/27/18	1200	Sample	RBB_1	NA	3
RBB.MIU.2.S117	RBB_2	Mainland	R_Beach	B	2	10/10/18	RBB	11/27/18	1200	Sample	RBB_2	NA	3
RBB.MIU.3.S196	RBB_3	Mainland	R_Beach	B	3	10/10/18	RBB	11/27/18	1200	Sample	RBB_3	NA	3
RBC.MIU.1.S39	RBC_1	Mainland	R_Beach	C	1	10/10/18	RBC	11/27/18	1200	Sample	RBC_1	NA	3
RBC.MIU.2.S118	RBC_2	Mainland	R_Beach	C	2	10/10/18	RBC	11/27/18	1200	Sample	RBC_2	NA	3
RBC.MIU.3.S197	RBC_3	Mainland	R_Beach	C	3	10/10/18	RBC	11/27/18	1200	Sample	RBC_3	NA	3
SAA.MIU.1.S28	SAA_1	Santa_Rosa_Island	Southeast_Anchorage	A	1	9/13/18	SAA	9/27/18	1200	Sample	SAA_1	NA	3
SAA.MIU.2.S107	SAA_2	Santa_Rosa_Island	Southeast_Anchorage	A	2	9/13/18	SAA	9/27/18	1200	Sample	SAA_2	NA	3
SAA.MIU.3.S186	SAA_3	Santa_Rosa_Island	Southeast_Anchorage	A	3	9/13/18	SAA	9/27/18	1200	Sample	SAA_3	NA	3
SAB.MIU.1.S29	SAB_1	Santa_Rosa_Island	Southeast_Anchorage	B	1	9/13/18	SAB	9/27/18	1250	Sample	SAB_1	NA	3
SAB.MIU.2.S108	SAB_2	Santa_Rosa_Island	Southeast_Anchorage	B	2	9/13/18	SAB	9/27/18	1250	Sample	SAB_2	NA	3
SAB.MIU.3.S187	SAB_3	Santa_Rosa_Island	Southeast_Anchorage	B	3	9/13/18	SAB	9/27/18	1250	Sample	SAB_3	NA	3
SAC.MIU.1.S30	SAC_1	Santa_Rosa_Island	Southeast_Anchorage	C	1	9/13/18	SAC	9/27/18	1200	Sample	SAC_1	NA	3
